STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960404,222,83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960405,122,61
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960406,78,33
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960407,117,39
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960408,122,17
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960409,67,22
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960410,100,22
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960411,233,39
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960412,289,111
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960413,211,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960414,194,106
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960415,156,67
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960416,156,83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960417,156,61
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960418,228,50
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960419,239,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960420,261,167
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960421,244,144
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960422,306,144
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960423,289,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960424,194,72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960425,256,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960426,206,139
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960427,167,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960428,233,72
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960429,294,161
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960430,222,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960501,200,56
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960502,239,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960503,261,144
